"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMIM14",2982.15714789744,0.58061321497164,0.0775014852521677,7.49163984512671,6.80183574159071e-14,4.4046744880901e-11
"GRWD1",5924.11334499446,-0.703847948723222,0.0939096840897138,-7.49494533546532,6.63259994990364e-14,4.4046744880901e-11
"PIK3C2A",4429.51627997882,0.60224994011781,0.0809003300014208,7.44434466592699,9.74268330555904e-14,6.02230683055897e-11
"TSNAX",2465.0060437237,0.697812565267394,0.0938449715678224,7.43580133926601,1.03935940806332e-13,6.14532547402308e-11
"DDX56",6633.24844031811,-0.509018804535402,0.0685856793813383,-7.42164850048716,1.15671461601498e-13,6.5542341929949e-11
"PCDH7",3009.03796665472,0.679846504331804,0.0925102074880898,7.34888098072129,1.99873058059711e-13,1.0872294866216e-10
"COG5",1967.01876418133,0.635842485654657,0.0869349507291093,7.314002944983,2.59299456411736e-13,1.35623588759354e-10
"NMD3",5044.40312389784,0.544071413752997,0.07451422125019,7.301578203793,2.84411687332996e-13,1.43248686520052e-10
"POLR2L",9827.68674553271,-0.667077248852381,0.0918472373281761,-7.262899443223,3.78879603913685e-13,1.77668404607662e-10
"COTL1",29359.7679593621,-0.452989324294269,0.0623620180297805,-7.26386570873872,3.7618149282151e-13,1.77668404607662e-10
"ATF2",1762.84854733633,0.652904275357129,0.0901349370866304,7.24363156463527,4.3682708580147e-13,1.96078977914271e-10
"BAK1",2279.78341145249,-0.600436089820211,0.0829272399768672,-7.24051698799699,4.46977595068931e-13,1.96078977914271e-10
"ZDHHC18",3266.68776902993,-0.530328791840323,0.0734495341751378,-7.22031525177237,5.18671912475528e-13,2.16423575261031e-10
"ERAL1",2868.75004635322,-0.529769015106457,0.0733892535723155,-7.21861838510782,5.25184056446359e-13,2.16423575261031e-10
"ATOX1",2086.29242119238,-0.689024786153835,0.0955754908473429,-7.20922048158113,5.62730829083769e-13,2.2507578072677e-10
"HMGCR",19277.8674946677,0.464721660893177,0.06451789238008,7.20298887253577,5.89067819481568e-13,2.28878093632281e-10
"WNT16",7999.9246093692,0.498849193322608,0.0694358390563261,7.18431864729025,6.75431699340775e-13,2.55144324425978e-10
"PPP1CB",10713.1109944753,0.553938659100012,0.0772863990121278,7.16734983361158,7.64634649626477e-13,2.80636869747789e-10
"LPP",3378.18057143472,0.716296232888911,0.10003675283577,7.16033070430479,8.04826672561496e-13,2.80636869747789e-10
"NPM3",7754.47849272834,-0.510741788709221,0.071321043110803,-7.16116543494383,7.99940405790238e-13,2.80636869747789e-10
"SMARCA1",3706.0386035341,0.585990060663674,0.0821938467516741,7.12936653803393,1.0083189339474e-12,3.42803229568767e-10
"BNIP3L",10517.9992365636,0.513927125706947,0.0721678469735526,7.12127557158919,1.06932746048041e-12,3.54677661831052e-10
"SDC1",5974.77444666785,-0.519673682157845,0.0732987365718177,-7.08980408753256,1.34301987640655e-12,4.15084711346652e-10
"SC5D",4467.75631830354,0.53065882387408,0.0747983420873972,7.09452655052218,1.29795056311275e-12,4.15084711346652e-10
"ARHGDIA",15216.0213793981,-0.599079308073186,0.0844859637557942,-7.09087381431569,1.33267819811902e-12,4.15084711346652e-10
"SRM",5530.97752539404,-0.540121153709508,0.0762625507759829,-7.08239035035799,1.41688865234365e-12,4.22926038015139e-10
"TRIM28",54483.7025335826,-0.498313503945361,0.0703727569792305,-7.08105700750692,1.43059031904525e-12,4.22926038015139e-10
"DDX39A",9522.37270069554,-0.503161255886999,0.0711770251873006,-7.0691526452945,1.55882604345401e-12,4.41634903436065e-10
"MYBL2",11460.3639351289,-0.444161206342048,0.0628071163432587,-7.07182931173884,1.52904431084074e-12,4.41634903436065e-10
"LY6E",12984.3067157017,-0.55289198203937,0.0783660732550873,-7.05524672953391,1.72294732173642e-12,4.78170625067217e-10
"SLC39A10",2779.78811147256,0.605648284495942,0.0859896566615307,7.04326901641057,1.87781177135173e-12,5.10727245572245e-10
"RB1CC1",2703.04612220843,0.663579337478692,0.0944573418827808,7.0251747958584,2.13798422300556e-12,5.70087204875543e-10
"SF3B4",5800.25178368079,-0.518192437446316,0.0738340168917506,-7.01834275393749,2.24515237921958e-12,5.76072211415228e-10
"DHX37",5679.66963481794,-0.511249562858584,0.0728287268604662,-7.01988878424439,2.22044919789675e-12,5.76072211415228e-10
"PLK1",7485.53875188865,-0.557537643127126,0.0795786093987945,-7.0061244766558,2.45009954390837e-12,6.17016735140924e-10
"AEN",4579.26006244331,-0.549407753535804,0.0784867700393248,-7.00000462830271,2.55954053263893e-12,6.21556994702801e-10
"MT-RNR1",44678.1547173288,-0.518168973495596,0.0740219740873429,-7.00020473493693,2.55588737396635e-12,6.21556994702801e-10
"RBPJ",6611.89227623089,0.4943908040829,0.0708602636370502,6.97698228467219,3.01587719175298e-12,7.19524805800855e-10
"ACBD3",3391.61952603397,0.568666272444577,0.0816408806510699,6.96545980285337,3.27332878261263e-12,7.54474544317782e-10
